央视,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227427/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221227489/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221227401/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221227463/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221227430/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227690/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221227629/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221225550/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227384/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221227387/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227538/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8
CCTV-4K,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
卫视,#genre#
东南卫视,http://ott.mobaibox.com/PLTV/3/224/3221227553/index.m3u8
东方卫视,http://ott.mobaibox.com/PLTV/3/224/3221227486/index.m3u8
云南卫视,http://ott.mobaibox.com/PLTV/3/224/3221228169/index.m3u8
北京卫视,http://ott.mobaibox.com/PLTV/3/224/3221225574/index.m3u8
吉林卫视,http://ott.mobaibox.com/PLTV/3/224/3221228130/index.m3u8
四川卫视,http://ott.mobaibox.com/PLTV/3/224/3221228171/index.m3u8
天津卫视,http://ott.mobaibox.com/PLTV/3/224/3221227407/index.m3u8
安徽卫视,http://ott.mobaibox.com/PLTV/3/224/3221227643/index.m3u8
山东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227448/index.m3u8
广东卫视,http://ott.mobaibox.com/PLTV/3/224/3221227445/index.m3u8
广西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228183/index.m3u8
新疆卫视,http://ott.mobaibox.com/PLTV/3/224/3221228290/index.m3u8
江苏卫视,http://ott.mobaibox.com/PLTV/3/224/3221227439/index.m3u8
江西卫视,http://ott.mobaibox.com/PLTV/3/224/3221228109/index.m3u8
