移动源,#genre#
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228049/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227427/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227424/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221227489/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221227401/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221227463/index.m3u8
CCTV6,http://ott.mobaibox.com/PLTV/3/224/3221227430/index.m3u8
CCTV7,http://ott.mobaibox.com/PLTV/3/224/3221227690/index.m3u8
CCTV8,http://ott.mobaibox.com/PLTV/3/224/3221227629/index.m3u8
CCTV9,http://ott.mobaibox.com/PLTV/3/224/3221227614/index.m3u8
CCTV10,http://ott.mobaibox.com/PLTV/3/224/3221225550/index.m3u8
CCTV11,http://ott.mobaibox.com/PLTV/3/224/3221227384/index.m3u8
CCTV12,http://ott.mobaibox.com/PLTV/3/224/3221227637/index.m3u8
CCTV13,http://ott.mobaibox.com/PLTV/3/224/3221227387/index.m3u8
CCTV14,http://ott.mobaibox.com/PLTV/3/224/3221227693/index.m3u8
CCTV15,http://ott.mobaibox.com/PLTV/3/224/3221227538/index.m3u8
CCTV16,http://ott.mobaibox.com/PLTV/3/224/3221228112/index.m3u8
CCTV17,http://ott.mobaibox.com/PLTV/3/224/3221227592/index.m3u8
CCTV高尔夫网球,http://ott.mobaibox.com/PLTV/3/224/3221228138/index.m3u8 
CCTV4K,http://ott.mobaibox.com/PLTV/3/224/3221228228/index.m3u8
纯享4K,http://ott.mobaibox.com/PLTV/3/224/3221227506/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221228149/index.m3u8
CCTV1,http://ott.mobaibox.com/PLTV/3/224/3221227467/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221227543/index.m3u8
CCTV2,http://ott.mobaibox.com/PLTV/3/224/3221228094/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221227546/index.m3u8
CCTV3,http://ott.mobaibox.com/PLTV/3/224/3221228126/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221227549/index.m3u8
CCTV4,http://ott.mobaibox.com/PLTV/3/224/3221228091/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221227537/index.m3u8
CCTV5,http://ott.mobaibox.com/PLTV/3/224/3221227617/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221227502/index.m3u8
CCTV5+,http://ott.mobaibox.com/PLTV/3/224/3221228176/index.m3u8
